,Type,Link
0,Topwear,https://www.myntra.com/men-topwear
1,Indian & Festive Wear,https://www.myntra.com/men-ethnic-wear
2,Bottomwear,https://www.myntra.com/men-bottomwear
3,Innerwear & Sleepwear,https://www.myntra.com/men-innerwear
4,Plus Size,https://www.myntra.com/men-plus-size
5,Footwear,https://www.myntra.com/men-footwear
6,Personal Care & Grooming,https://www.myntra.com/men-personal-care
7,Sunglasses & Frames,https://www.myntra.com/men-sunglasses
8,Watches,https://www.myntra.com/mens-watches
9,Sports & Active Wear,https://www.myntra.com/men-sports-wear
10,Gadgets,https://www.myntra.com/gadgets
11,Fashion Accessories,https://www.myntra.com/men-accessories
12,Bags & Backpacks,https://www.myntra.com/men-bags-backpacks
13,Luggages & Trolleys,https://www.myntra.com/trolley-bags
14,Indian & Fusion Wear,https://www.myntra.com/fusion-wear
15,"Belts, Scarves & More",https://www.myntra.com/women-accessories
16,Watches & Wearables,https://www.myntra.com/women-watches
17,Western Wear,https://www.myntra.com/womens-western-wear
18,Sunglasses & Frames,https://www.myntra.com/women-sunglasses
19,Footwear,https://www.myntra.com/women-footwear
20,Sports & Active Wear,https://www.myntra.com/women-sportswear
21,Lingerie & Sleepwear,https://www.myntra.com/lingerie
22,Beauty & Personal Care,https://www.myntra.com/women-personal-care
23,Gadgets,https://www.myntra.com/gadgets
24,Jewellery,https://www.myntra.com/women-jewellery
25,Backpacks,https://www.myntra.com/backpacks-for-women
26,"Handbags, Bags & Wallets",https://www.myntra.com/handbags-and-bags
27,Luggages & Trolleys,https://www.myntra.com/trolley-bags
28,Boys Clothing,https://www.myntra.com/boys-clothing
29,Girls Clothing,https://www.myntra.com/girls-clothing
30,Boys Footwear,https://www.myntra.com/boys-footwear
31,Girls Footwear,https://www.myntra.com/girls-footwear
32,Infants,https://www.myntra.com/inf-tki
33,Kids Accessories,https://www.myntra.com/kids-accessories
34,Home & Bath,https://www.myntra.com/kids-home-bath
35,Brands,https://www.myntra.com/kids
36,Bed Linen & Furnishing,https://www.myntra.com/bedding
37,Flooring,https://www.myntra.com/flooring
38,Bath,https://www.myntra.com/bath
39,Lamps & Lighting,https://www.myntra.com/lamps-and-lighting
40,Home D̩cor,https://www.myntra.com/home-decor
41,Cushions & Cushion Covers,https://www.myntra.com/cushion-and-cushion-covers
42,Curtains ,https://www.myntra.com/curtains
43,Kitchen & Table,https://www.myntra.com/home-furnishing-kitchen-table-menu
44,Storage,https://www.myntra.com/storage
45,Brands,https://www.myntra.com/home-furnishing
46,Masks,https://www.myntra.com/outdoor-masks
47,Skincare,https://www.myntra.com/essentialspcc?f=Categories%3AEye%20Cream%2CFace%20Moisturisers%2CFace%20Scrub%20and%20Exfoliator%2CFace%20Serum%20and%20Gel%2CFace%20Wash%20and%20Cleanser%2CFacial%20Kit%2CLip%20Care%2CMask%20and%20Peel%2CSkin%20Care%20Gift%20Set%2CToner
48,Haircare,https://www.myntra.com/essentialspcc?f=Categories%3AHair%20Brush%20and%20Comb%2CHair%20Care%20Kit%2CHair%20Colour%2CHair%20Cream%20and%20Mask%2CHair%20Gel%20and%20Spray%2CHair%20Oil%2CHair%20Serum%2CShampoo%20and%20Conditioner
49,Bath & Body,https://www.myntra.com/essentialspcc?f=Categories%3ABody%20Lotion%2CBody%20Oil%2CBody%20Wash%20and%20Scrub
50,Men's Grooming,https://www.myntra.com/essentialspcc?f=Gender%3Amen%2Cmen%20women
51,Baby Care,https://www.myntra.com/essentialspcc?f=Gender%3Aboys%2Cboys%20girls
52,At Home Salon,https://www.myntra.com/essentialspcc?f=Categories%3ABody%20Oil%2CFace%20Scrub%20and%20Exfoliator%2CFacial%20Kit%2CHair%20Care%20Kit%2CHair%20Colour%2CHair%20Oil%2CMask%20and%20Peel
53,Hair Styling,https://www.myntra.com/essentialspcc?f=Categories%3AHair%20Brush%20and%20Comb%2CHair%20Care%20Kit%2CHair%20Gel%20and%20Spray
54,Appliances,https://www.myntra.com/essentialspcc?f=Categories%3AEpilator%2CTrimmer
